timestamp_ms,total_memory_mb,used_memory_mb,free_memory_mb,gpu_memory_mb,gpu_free_mb,cpu_usage_percent,gpu_usage_percent,context
0,,,,,,,"EVENT: Starting self-play game generation"
0,32051,3904,28147,0,0,2.23,0.00,"generate_games_start"
0,32051,3904,28147,0,0,0.00,0.00,"game_20250523_064913_0_move_0_before"
0,32051,3900,28151,0,0,0.00,0.00,"periodic"
562,32051,4113,27938,0,0,5.77,0.00,"game_20250523_064913_0_move_0_after_cleanup"
1002,32051,4851,27200,0,0,12.73,0.00,"periodic"
2002,32051,10422,21629,0,0,34.16,0.00,"periodic"
3002,32051,16018,16033,0,0,35.23,0.00,"periodic"
4003,32051,20879,11172,0,0,36.47,0.00,"periodic"
5003,32051,25642,6409,0,0,35.91,0.00,"periodic"
6003,32051,29901,2150,0,0,35.42,0.00,"periodic"
7004,32051,31856,195,0,0,40.63,0.00,"periodic"
8421,32051,31837,214,0,0,41.78,0.00,"periodic"
9422,32051,31827,224,0,0,37.67,0.00,"periodic"
