GPU Utilization Monitor - Press Ctrl+C to stop
============================================================
Time     GPU%   Mem Used   Mem Total  Temp   Power   
============================================================
     0.5    9.0       1361       8192   45.0     71.7
     1.9   16.0       1319       8192   45.0     74.0
     3.4    8.0       1361       8192   45.0     70.0
     5.0    5.0       1341       8192   45.0     70.0
     6.6    6.0       1361       8192   45.0     69.7
     8.1   11.0       1363       8192   45.0     69.8
     9.5   11.0       1361       8192   45.0     70.2
    10.9   10.0       1361       8192   45.0     70.6
    12.3   13.0       1319       8192   45.0     71.8
    13.8   11.0       1341       8192   45.0     70.0
    15.2    8.0       1361       8192   45.0     70.1
    16.7   10.0       1319       8192   45.0     70.8
    18.3    8.0       1363       8192   45.0     69.2
    19.7   12.0       1361       8192   45.0     72.0
    21.3    6.0       1363       8192   45.0     69.8
    22.6    9.0       1363       8192   45.0     70.8
    24.1   11.0       1363       8192   45.0     71.0
    25.6    7.0       1363       8192   45.0     71.2
    27.0    6.0       1361       8192   45.0     70.4
    28.3   14.0       1361       8192   46.0     72.1
    29.9    7.0       1363       8192   45.0     68.6
    31.2   10.0       1361       8192   45.0     72.3
    32.7   13.0       1363       8192   45.0     70.1
    34.1    8.0       1363       8192   45.0     71.2
    35.6    6.0       1361       8192   45.0     70.6
    37.1    6.0       1319       8192   45.0     70.7
    38.6    8.0       1361       8192   45.0     69.9
    40.0    9.0       1361       8192   45.0     70.8
    41.5    5.0       1361       8192   45.0     71.1
    43.0    5.0       1361       8192   45.0     71.0
    44.5    6.0       1363       8192   45.0     71.3
    45.9    8.0       1361       8192   46.0     70.8
    47.3   11.0       1361       8192   45.0     71.8
    48.8    8.0       1361       8192   45.0     70.2
    50.3    9.0       1361       8192   45.0     71.4
    51.7   11.0       1361       8192   45.0     72.1
    53.2    8.0       1363       8192   46.0     70.3
    54.5    7.0       1319       8192   46.0     72.4
    56.0   11.0       1361       8192   46.0     69.8
    57.4    6.0       1323       8192   45.0     72.6
    58.9   10.0       1361       8192   45.0     71.8
    60.3   10.0       1361       8192   45.0     72.6
    61.8   10.0       1361       8192   45.0     71.0
    63.2   10.0       1361       8192   45.0     71.7
    64.5   10.0       1361       8192   45.0     71.8
    66.2    7.0       1319       8192   45.0     69.0
    67.5    8.0       1321       8192   45.0     71.7
    69.0    9.0       1361       8192   45.0     71.1
    70.4    9.0       1361       8192   45.0     70.9
    71.9    7.0       1361       8192   45.0     72.2
    73.3    9.0       1361       8192   45.0     70.9
    74.7    9.0       1361       8192   45.0     71.7
    76.3    5.0       1361       8192   46.0     70.4
    77.7    8.0       1319       8192   45.0     69.6
    79.1    9.0       1361       8192   45.0     71.2
    80.7   12.0       1363       8192   45.0     70.6
    82.1   10.0       1361       8192   45.0     72.2
    83.6   10.0       1363       8192   45.0     70.7
    85.1    5.0       1361       8192   45.0     70.5
    86.6   11.0       1361       8192   45.0     70.9
    87.9   10.0       1361       8192   45.0     72.1
    89.5    9.0       1363       8192   45.0     69.2
    91.0    8.0       1361       8192   45.0     70.3
    92.5    9.0       1319       8192   45.0     71.5
    94.0    8.0       1361       8192   46.0     70.8
    95.4   13.0       1361       8192   45.0     72.6
    96.9    6.0       1361       8192   45.0     68.7
    98.4    5.0       1361       8192   46.0     71.5
    99.9   10.0       1361       8192   45.0     70.2
   101.4    7.0       1361       8192   45.0     71.7
   102.9    8.0       1361       8192   45.0     70.6
   104.3    9.0       1361       8192   45.0     70.9
   105.8    8.0       1361       8192   45.0     70.1
   107.3    9.0       1361       8192   45.0     71.3
   108.6   14.0       1319       8192   45.0     70.7
   110.1    9.0       1321       8192   45.0     71.9
   111.4    9.0       1363       8192   46.0     71.3
   112.9    9.0       1321       8192   45.0     70.9
   114.4    9.0       1363       8192   45.0     69.8
   115.9    9.0       1361       8192   45.0     70.6
   117.2    8.0       1361       8192   45.0     70.1
   118.9    9.0       1361       8192   45.0     70.4
   120.3    6.0       1363       8192   45.0     71.5
   121.8   10.0       1361       8192   46.0     71.5
   123.3    8.0       1321       8192   45.0     69.6
