[2025-05-26 18:44:49.586] [mcts] [info] [28809] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:44:49.689] [mcts] [info] [28810] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:44:49.791] [mcts] [info] [28811] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:44:49.892] [mcts] [info] [28812] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:48:40.877] [mcts] [info] [31570] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:48:40.984] [mcts] [info] [31571] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:48:41.084] [mcts] [info] [31572] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:48:41.250] [mcts] [info] [31573] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:58:04.893] [mcts] [info] [30603] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:58:04.982] [mcts] [info] [30604] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:58:05.038] [mcts] [info] [30605] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-26 18:58:05.160] [mcts] [info] [30606] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 00:50:07.374] [mcts] [info] [3207] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 00:50:07.856] [mcts] [info] [3208] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 06:37:39.033] [mcts] [info] [17193] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 06:37:39.530] [mcts] [info] [17194] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 06:54:09.256] [mcts] [info] [30647] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 06:54:10.236] [mcts] [info] [30648] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 06:54:14.063] [mcts] [info] [30649] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 06:54:25.003] [mcts] [info] [30650] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 12:56:29.809] [mcts] [info] [5082] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 12:56:30.332] [mcts] [info] [5083] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 12:56:30.837] [mcts] [info] [5084] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
[2025-05-27 12:56:31.419] [mcts] [info] [5085] [phmap_transposition_table.cpp:27] PHMap Transposition Table initialized: 128 MB, 1342177 max entries, 16 shards
