Time       CPU%       MEM%       GPU%       GPU_MEM    GPU_TEMP   POWER      Processes 
----       ----       ----       ----       -------    --------   -----      --------- 
22:21:40   0.0%       16%        8%         15%        48°C      83.84W     1         
22:21:42   28.4%      16%        62%        15%        48°C      81.65W     1         
22:21:45   18.1%      17%        27%        15%        48°C      89.74W     1         
22:21:48   0.0%       15%        0%         15%        47°C      91.08W     1         
22:21:50   0.0%       16%        0%         15%        47°C      88.26W     1         
22:21:53   0.8%       15%        0%         15%        47°C      81.57W     1         
22:21:55   0.0%       17%        1%         15%        47°C      81.44W     1         
22:21:58   0.0%       16%        1%         15%        49°C      80.65W     1         
22:22:00   3.3%       14%        40%        15%        48°C      85.52W     1         
22:22:03   23.5%      17%        76%        15%        48°C      90.54W     1         
✅ Target GPU utilization (70%+) achieved!
22:22:05   0.0%       14%        1%         15%        48°C      88.59W     1         
22:22:08   0.0%       16%        3%         15%        48°C      86.45W     1         
22:22:11   0.0%       15%        1%         15%        48°C      82.08W     1         
22:22:13   0.0%       14%        1%         15%        47°C      68.11W     1         
22:22:16   0.0%       15%        2%         15%        48°C      81.86W     1         
22:22:18   6.1%       14%        43%        15%        49°C      85.58W     1         
22:22:21   19.8%      16%        6%         15%        48°C      83.66W     1         
22:22:23   0.0%       15%        1%         15%        47°C      77.61W     1         
22:22:26   0.0%       16%        1%         15%        48°C      88.93W     1         
22:22:28   1.2%       16%        0%         15%        48°C      81.35W     1         
22:22:31   0.0%       16%        0%         15%        48°C      81.37W     1         
22:22:33   0.0%       16%        6%         15%        48°C      82.08W     1         
22:22:36   22.7%      15%        49%        15%        49°C      78.64W     1         
22:22:39   14.7%      16%        11%        15%        48°C      88.42W     1         
22:22:41   0.0%       16%        2%         15%        48°C      89.22W     1         
22:22:44   4.0%       15%        1%         15%        48°C      83.88W     1         
22:22:46   0.0%       16%        2%         15%        47°C      67.85W     1         
22:22:49   0.4%       16%        0%         15%        48°C      81.49W     1         
