timestamp_ms,total_memory_mb,used_memory_mb,free_memory_mb,gpu_memory_mb,gpu_free_mb,cpu_usage_percent,gpu_usage_percent,context
0,,,,,,,"EVENT: Starting self-play game generation"
0,32051,3828,28223,0,0,2.10,0.00,"generate_games_start"
0,32051,3828,28223,0,0,0.00,0.00,"game_20250523_171044_0_move_0_before"
0,32051,3824,28227,0,0,0.00,0.00,"periodic"
1002,32051,6264,25787,0,0,16.20,0.00,"periodic"
2003,32051,8971,23080,0,0,17.60,0.00,"periodic"
3003,32051,11571,20480,0,0,17.18,0.00,"periodic"
4003,32051,8824,23227,0,0,14.09,0.00,"periodic"
5003,32051,8807,23244,0,0,8.87,0.00,"periodic"
6004,32051,8594,23457,0,0,1.13,0.00,"periodic"
7004,32051,8595,23456,0,0,0.84,0.00,"periodic"
8004,32051,8595,23456,0,0,0.21,0.00,"periodic"
9005,32051,8595,23456,0,0,1.25,0.00,"periodic"
10005,32051,8595,23456,0,0,0.67,0.00,"periodic"
11005,32051,8596,23455,0,0,1.17,0.00,"periodic"
12005,32051,8596,23455,0,0,0.54,0.00,"periodic"
13007,32051,8600,23451,0,0,1.08,0.00,"periodic"
14007,32051,8600,23451,0,0,0.79,0.00,"periodic"
15007,32051,8602,23449,0,0,1.66,0.00,"periodic"
16007,32051,8602,23449,0,0,1.12,0.00,"periodic"
17008,32051,8602,23449,0,0,1.00,0.00,"periodic"
18008,32051,8602,23449,0,0,1.04,0.00,"periodic"
19008,32051,8603,23448,0,0,0.92,0.00,"periodic"
20008,32051,8603,23448,0,0,0.38,0.00,"periodic"
21009,32051,8605,23446,0,0,1.41,0.00,"periodic"
22009,32051,8604,23447,0,0,1.29,0.00,"periodic"
23010,32051,8605,23446,0,0,0.08,0.00,"periodic"
24010,32051,8607,23444,0,0,0.25,0.00,"periodic"
25010,32051,8605,23446,0,0,0.08,0.00,"periodic"
26010,32051,8605,23446,0,0,1.88,0.00,"periodic"
27011,32051,8605,23446,0,0,0.04,0.00,"periodic"
28011,32051,8605,23446,0,0,0.33,0.00,"periodic"
29012,32051,8605,23446,0,0,0.00,0.00,"periodic"
30012,32051,8607,23444,0,0,0.38,0.00,"periodic"
31012,32051,8607,23444,0,0,0.04,0.00,"periodic"
32013,32051,8609,23442,0,0,0.46,0.00,"periodic"
33013,32051,8609,23442,0,0,0.00,0.00,"periodic"
34013,32051,8611,23440,0,0,0.33,0.00,"periodic"
35013,32051,8611,23440,0,0,0.13,0.00,"periodic"
36014,32051,8612,23439,0,0,0.50,0.00,"periodic"
37014,32051,8612,23439,0,0,0.12,0.00,"periodic"
38014,32051,8613,23438,0,0,0.38,0.00,"periodic"
39014,32051,8613,23438,0,0,0.04,0.00,"periodic"
40015,32051,8613,23438,0,0,0.38,0.00,"periodic"
41015,32051,8612,23439,0,0,0.04,0.00,"periodic"
42015,32051,8614,23437,0,0,0.17,0.00,"periodic"
43015,32051,8612,23439,0,0,0.29,0.00,"periodic"
44016,32051,8612,23439,0,0,0.12,0.00,"periodic"
45016,32051,8613,23438,0,0,0.46,0.00,"periodic"
46016,32051,8462,23589,0,0,4.37,0.00,"periodic"
47016,32051,8450,23601,0,0,3.80,0.00,"periodic"
48017,32051,8449,23602,0,0,3.66,0.00,"periodic"
49017,32051,8452,23599,0,0,0.38,0.00,"periodic"
50017,32051,8451,23600,0,0,0.08,0.00,"periodic"
51017,32051,8451,23600,0,0,0.54,0.00,"periodic"
52018,32051,8451,23600,0,0,0.08,0.00,"periodic"
53018,32051,8451,23600,0,0,0.29,0.00,"periodic"
54018,32051,8451,23600,0,0,0.08,0.00,"periodic"
55019,32051,8451,23600,0,0,0.33,0.00,"periodic"
56019,32051,8453,23598,0,0,1.29,0.00,"periodic"
57019,32051,8453,23598,0,0,0.38,0.00,"periodic"
58019,32051,8453,23598,0,0,0.04,0.00,"periodic"
59020,32051,8453,23598,0,0,0.25,0.00,"periodic"
60020,32051,8453,23598,0,0,0.04,0.00,"periodic"
61020,32051,8454,23597,0,0,0.29,0.00,"periodic"
62021,32051,8454,23597,0,0,0.08,0.00,"periodic"
63021,32051,8460,23591,0,0,0.25,0.00,"periodic"
64021,32051,8455,23596,0,0,0.29,0.00,"periodic"
65021,32051,8455,23596,0,0,0.13,0.00,"periodic"
66022,32051,8455,23596,0,0,0.38,0.00,"periodic"
67022,32051,8454,23597,0,0,0.08,0.00,"periodic"
68022,32051,8453,23598,0,0,0.29,0.00,"periodic"
69022,32051,8452,23599,0,0,0.08,0.00,"periodic"
70023,32051,8451,23600,0,0,0.46,0.00,"periodic"
71023,32051,8451,23600,0,0,0.08,0.00,"periodic"
72023,32051,8451,23600,0,0,0.25,0.00,"periodic"
73023,32051,8451,23600,0,0,0.00,0.00,"periodic"
74024,32051,8451,23600,0,0,0.54,0.00,"periodic"
75024,32051,8450,23601,0,0,0.12,0.00,"periodic"
76024,32051,8452,23599,0,0,0.33,0.00,"periodic"
77024,32051,8454,23597,0,0,0.08,0.00,"periodic"
78025,32051,8453,23598,0,0,0.38,0.00,"periodic"
79025,32051,8453,23598,0,0,0.08,0.00,"periodic"
80025,32051,8454,23597,0,0,0.38,0.00,"periodic"
81025,32051,8453,23598,0,0,0.04,0.00,"periodic"
82026,32051,8455,23596,0,0,0.33,0.00,"periodic"
83026,32051,8453,23598,0,0,0.17,0.00,"periodic"
84026,32051,8455,23596,0,0,0.13,0.00,"periodic"
85027,32051,8453,23598,0,0,0.38,0.00,"periodic"
86027,32051,8451,23600,0,0,1.42,0.00,"periodic"
87027,32051,8455,23596,0,0,0.25,0.00,"periodic"
88027,32051,8455,23596,0,0,0.12,0.00,"periodic"
89028,32051,8455,23596,0,0,0.38,0.00,"periodic"
90028,32051,8455,23596,0,0,0.13,0.00,"periodic"
91028,32051,8457,23594,0,0,0.42,0.00,"periodic"
92029,32051,8457,23594,0,0,0.21,0.00,"periodic"
93029,32051,8457,23594,0,0,0.46,0.00,"periodic"
94029,32051,8457,23594,0,0,0.21,0.00,"periodic"
95029,32051,8459,23592,0,0,0.50,0.00,"periodic"
96030,32051,8460,23591,0,0,0.00,0.00,"periodic"
97030,32051,8458,23593,0,0,0.46,0.00,"periodic"
98030,32051,8458,23593,0,0,0.04,0.00,"periodic"
99030,32051,8460,23591,0,0,0.25,0.00,"periodic"
100031,32051,8461,23590,0,0,0.04,0.00,"periodic"
101031,32051,8462,23589,0,0,0.33,0.00,"periodic"
102031,32051,8461,23590,0,0,0.08,0.00,"periodic"
103032,32051,8462,23589,0,0,0.08,0.00,"periodic"
104032,32051,8461,23590,0,0,0.25,0.00,"periodic"
105033,32051,8460,23591,0,0,0.21,0.00,"periodic"
106033,32051,8457,23594,0,0,4.65,0.00,"periodic"
107033,32051,8464,23587,0,0,0.75,0.00,"periodic"
108033,32051,8468,23583,0,0,0.75,0.00,"periodic"
109034,32051,8479,23572,0,0,0.58,0.00,"periodic"
110034,32051,8502,23549,0,0,1.29,0.00,"periodic"
111034,32051,8517,23534,0,0,0.79,0.00,"periodic"
112034,32051,8537,23514,0,0,1.25,0.00,"periodic"
113035,32051,8558,23493,0,0,1.04,0.00,"periodic"
114035,32051,8568,23483,0,0,0.96,0.00,"periodic"
115035,32051,8527,23524,0,0,4.25,0.00,"periodic"
116035,32051,8531,23520,0,0,0.42,0.00,"periodic"
117036,32051,8531,23520,0,0,0.12,0.00,"periodic"
118036,32051,8534,23517,0,0,0.29,0.00,"periodic"
119036,32051,8535,23516,0,0,0.08,0.00,"periodic"
120037,32051,8537,23514,0,0,0.46,0.00,"periodic"
121037,32051,8538,23513,0,0,0.08,0.00,"periodic"
122037,32051,8539,23512,0,0,0.42,0.00,"periodic"
123037,32051,8538,23513,0,0,0.08,0.00,"periodic"
124038,32051,8539,23512,0,0,0.21,0.00,"periodic"
125038,32051,8537,23514,0,0,0.37,0.00,"periodic"
126038,32051,8537,23514,0,0,0.12,0.00,"periodic"
127038,32051,8538,23513,0,0,0.33,0.00,"periodic"
128039,32051,8540,23511,0,0,0.08,0.00,"periodic"
129039,32051,8540,23511,0,0,0.38,0.00,"periodic"
130039,32051,8540,23511,0,0,0.17,0.00,"periodic"
131039,32051,8540,23511,0,0,0.38,0.00,"periodic"
132040,32051,8540,23511,0,0,0.25,0.00,"periodic"
133041,32051,8541,23510,0,0,0.79,0.00,"periodic"
134041,32051,8540,23511,0,0,0.63,0.00,"periodic"
135041,32051,8543,23508,0,0,0.67,0.00,"periodic"
136041,32051,8551,23500,0,0,0.75,0.00,"periodic"
137042,32051,8565,23486,0,0,0.92,0.00,"periodic"
138042,32051,8573,23478,0,0,0.38,0.00,"periodic"
139042,32051,8589,23462,0,0,0.71,0.00,"periodic"
140042,32051,8599,23452,0,0,3.71,0.00,"periodic"
141043,32051,8554,23497,0,0,1.59,0.00,"periodic"
142043,32051,8553,23498,0,0,0.63,0.00,"periodic"
143043,32051,8553,23498,0,0,1.25,0.00,"periodic"
144044,32051,8553,23498,0,0,0.13,0.00,"periodic"
145044,32051,8555,23496,0,0,0.79,0.00,"periodic"
146044,32051,8559,23492,0,0,2.04,0.00,"periodic"
147044,32051,8566,23485,0,0,0.63,0.00,"periodic"
148045,32051,8570,23481,0,0,0.33,0.00,"periodic"
149045,32051,8575,23476,0,0,0.33,0.00,"periodic"
150045,32051,8578,23473,0,0,0.46,0.00,"periodic"
151045,32051,8578,23473,0,0,0.08,0.00,"periodic"
152046,32051,8581,23470,0,0,0.46,0.00,"periodic"
153046,32051,8581,23470,0,0,0.17,0.00,"periodic"
154046,32051,8579,23472,0,0,0.33,0.00,"periodic"
155046,32051,8654,23397,0,0,2.05,0.00,"periodic"
156047,32051,8657,23394,0,0,0.46,0.00,"periodic"
157047,32051,8657,23394,0,0,0.33,0.00,"periodic"
158047,32051,8659,23392,0,0,0.33,0.00,"periodic"
159048,32051,8669,23382,0,0,2.42,0.00,"periodic"
